iterations,js1
300,0.271538459
600,0.20130592
900,0.176459965
1200,0.157593889
1500,0.153846624
1800,0.13901228
2100,0.132852448
2400,0.137988126
2700,0.133748153
3000,0.128465456
3300,0.131477733
3600,0.12863397
3900,0.130751332
4200,0.125727345
4500,0.12296422
4800,0.12107992
5100,0.123236679
5400,0.115930096
5700,0.121735136
6000,0.130296239
6300,0.119068075
6600,0.11873653
6900,0.118854344
7200,0.119280287
7500,0.116960604
7800,0.116312378
8100,0.115189268
8400,0.121053298
8700,0.121932785
9000,0.1179613
9300,0.120258222
9600,0.117556651
9900,0.11241556
10200,0.113629648
10500,0.121828413
10800,0.112499657
11100,0.114340195
11400,0.109427279
11700,0.10950979
12000,0.12162059
12300,0.112438258
12600,0.108329523
12900,0.112566408
13200,0.11243298
13500,0.114356607
13800,0.112556627
14100,0.107362287
14400,0.108627382
14700,0.108602846
15000,0.110689534
15300,0.107789008
15600,0.111098044
15900,0.109184853
16200,0.111182665
16500,0.110412238
16800,0.111473062
17100,0.111340032
17400,0.111730476
17700,0.111399068
18000,0.110151297
18300,0.106638718
18600,0.110284286
18900,0.108259516
19200,0.107188481
19500,0.107818767
19800,0.109514918
20100,0.108712415
20400,0.108051755
20700,0.10816897
21000,0.110137703
21300,0.105130657
21600,0.105682443
21900,0.110709797
22200,0.111439078
22500,0.106076707
22800,0.107909277
23100,0.110364285
23400,0.107781073
23700,0.111499415
24000,0.106512698
24300,0.110781486
24600,0.107800337
24900,0.108177937
25200,0.109563177
25500,0.106739206
25800,0.106310094
26100,0.107248127
26400,0.110795034
26700,0.109105085
27000,0.109253641
27300,0.11080962
27600,0.104188799
27900,0.103538184
28200,0.109156091
28500,0.105320129
28800,0.107881819
29100,0.103348857
29400,0.109970214
29700,0.106127627
30000,0.1049534
