,js1
0,0
1,300
2,600
3,900
4,1200
5,1500
6,1800
7,2100
8,2400
9,2700
10,3000
11,3300
12,3600
13,3900
14,4200
15,4500
16,4800
17,5100
18,5400
19,5700
20,6000
21,6300
22,6600
23,6900
24,7200
25,7500
26,7800
27,8100
28,8400
29,8700
30,9000
31,9300
32,9600
33,9900
34,10200
35,10500
36,10800
37,11100
38,11400
39,11700
40,12000
41,12300
42,12600
43,12900
44,13200
45,13500
46,13800
47,14100
48,14400
49,14700
50,15000
51,15300
52,15600
53,15900
54,16200
55,16500
56,16800
57,17100
58,17400
59,17700
60,18000
61,18300
62,18600
63,18900
64,19200
65,19500
66,19800
67,20100
68,20400
69,20700
70,21000
71,21300
72,21600
73,21900
74,22200
75,22500
76,22800
77,23100
78,23400
79,23700
80,24000
81,24300
82,24600
83,24900
84,25200
85,25500
86,25800
87,26100
88,26400
89,26700
90,27000
91,27300
92,27600
93,27900
94,28200
95,28500
96,28800
97,29100
98,29400
99,29700
100,30000
